,year,month,carrier,carrier_name,airport,arr_flights,arr_cancelled, arr_delay, carrier_delay,weather_delay,Airport,city
18539,2018,12,9E,Endeavor Air Inc.,DEN,3.0,0.0,0.0,0.0,0.0, Denver International,"Denver, CO"
18540,2018,12,9E,Endeavor Air Inc.,DFW,155.0,1.0,864.0,586.0,0.0, Dallas/Fort Worth International,Dallas
18594,2018,12,9E,Endeavor Air Inc.,ORD,94.0,0.0,1270.0,438.0,0.0, Chicago O'Hare International,"Chicago, IL"
18626,2018,12,AA,American Airlines Inc.,ATL,1029.0,14.0,10847.0,4444.0,812.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
18644,2018,12,AA,American Airlines Inc.,DEN,810.0,17.0,6113.0,2443.0,500.0, Denver International,"Denver, CO"
18645,2018,12,AA,American Airlines Inc.,DFW,11864.0,333.0,149112.0,41965.0,7275.0, Dallas/Fort Worth International,Dallas
18670,2018,12,AA,American Airlines Inc.,LAX,3594.0,22.0,30724.0,12072.0,869.0, Los Angeles International,"Los Angeles, CA"
18691,2018,12,AA,American Airlines Inc.,ORD,5243.0,40.0,45321.0,17444.0,911.0, Chicago O'Hare International,"Chicago, IL"
18730,2018,12,AS,Alaska Airlines Inc.,ATL,52.0,0.0,287.0,124.0,0.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
18743,2018,12,AS,Alaska Airlines Inc.,DEN,118.0,0.0,703.0,320.0,0.0, Denver International,"Denver, CO"
18744,2018,12,AS,Alaska Airlines Inc.,DFW,121.0,0.0,684.0,186.0,0.0, Dallas/Fort Worth International,Dallas
18759,2018,12,AS,Alaska Airlines Inc.,LAX,1712.0,23.0,13270.0,2336.0,57.0, Los Angeles International,"Los Angeles, CA"
18771,2018,12,AS,Alaska Airlines Inc.,ORD,273.0,0.0,1690.0,411.0,0.0, Chicago O'Hare International,"Chicago, IL"
18798,2018,12,B6,JetBlue Airways,ATL,245.0,0.0,4791.0,2728.0,57.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
18815,2018,12,B6,JetBlue Airways,DFW,43.0,0.0,457.0,73.0,0.0, Dallas/Fort Worth International,Dallas
18826,2018,12,B6,JetBlue Airways,LAX,543.0,0.0,5998.0,2750.0,0.0, Los Angeles International,"Los Angeles, CA"
18834,2018,12,B6,JetBlue Airways,ORD,194.0,0.0,2660.0,1189.0,0.0, Chicago O'Hare International,"Chicago, IL"
18869,2018,12,DL,Delta Air Lines Inc.,ATL,19224.0,22.0,114809.0,46184.0,9818.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
18901,2018,12,DL,Delta Air Lines Inc.,DEN,970.0,0.0,2928.0,1766.0,235.0, Denver International,"Denver, CO"
18902,2018,12,DL,Delta Air Lines Inc.,DFW,495.0,0.0,2663.0,949.0,78.0, Dallas/Fort Worth International,Dallas
18940,2018,12,DL,Delta Air Lines Inc.,LAX,2858.0,0.0,24625.0,8715.0,1630.0, Los Angeles International,"Los Angeles, CA"
18967,2018,12,DL,Delta Air Lines Inc.,ORD,757.0,0.0,3474.0,1120.0,100.0, Chicago O'Hare International,"Chicago, IL"
19040,2018,12,EV,ExpressJet Airlines Inc.,DFW,454.0,60.0,8905.0,3967.0,0.0, Dallas/Fort Worth International,Dallas
19089,2018,12,EV,ExpressJet Airlines Inc.,ORD,1241.0,49.0,26986.0,5494.0,1595.0, Chicago O'Hare International,"Chicago, IL"
19116,2018,12,F9,Frontier Airlines Inc.,ATL,248.0,0.0,3760.0,1229.0,0.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
19131,2018,12,F9,Frontier Airlines Inc.,DEN,1646.0,9.0,21900.0,7395.0,19.0, Denver International,"Denver, CO"
19132,2018,12,F9,Frontier Airlines Inc.,DFW,31.0,0.0,559.0,266.0,0.0, Dallas/Fort Worth International,Dallas
